ticker,title,published,source,sentiment_label,sentiment_score,low_confidence
AAPL,"Prominent Tech Investor: ‘When We Were Buying Nvidia in 2023, We Were Paying 4 Times Earnings’","Tue, 09 Jun 2026 18:54:30 +0000",,neutral,0.7916550636291504,False
AAPL,Apple shares slip as analysts offer mixed read on WWDC AI progress,"Tue, 09 Jun 2026 18:27:00 +0000",,negative,0.9591225981712341,False
AAPL,"Micron, Marvell, Super Micro, Coherent, Smucker, and More Stocks That Explain Today’s Market","Tue, 09 Jun 2026 18:25:00 +0000",,neutral,0.946366012096405,False
AAPL,Equities Markets Fall Intraday Amid Tech Sell-Off,"Tue, 09 Jun 2026 18:17:06 +0000",,negative,0.9579709768295288,False
AAPL,Palantir vs. Apple: Which Stock Offers More Upside in 2026?,"Tue, 09 Jun 2026 18:13:04 +0000",,neutral,0.857824981212616,False
AAPL,Where Alphabet Stock Is Most Exposed,"Tue, 09 Jun 2026 17:38:26 +0000",,neutral,0.9061760902404785,False
AAPL,Sector Update: Tech Stocks Fall Tuesday Afternoon,"Tue, 09 Jun 2026 17:32:39 +0000",,negative,0.9724776744842529,False
AAPL,Why Apple Stock Is Sinking Today,"Tue, 09 Jun 2026 17:18:43 +0000",,negative,0.7634545564651489,False
AAPL,"Stock Market Today, June 9: Chipmakers Drag Nasdaq Down at Midday","Tue, 09 Jun 2026 17:15:21 +0000",,negative,0.9606563448905945,False
AAPL,"Stocks slump as US tech rebound falters, oil dips below $90","Tue, 09 Jun 2026 17:07:20 +0000",,negative,0.9603958129882812,False
AAPL,Nvidia Finally Lands Apple as an AI Customer. What It Means for the Stock.,"Tue, 09 Jun 2026 17:07:00 +0000",,neutral,0.8362462520599365,False
AAPL,"Anthropic Expands Mythos Access After Finding Over 10,000 Serious Vulnerabilities","Tue, 09 Jun 2026 17:02:39 +0000",,positive,0.8934375047683716,False
AAPL,Roblox Shares Jump 5.37% After Russia Agencies Seek Ban Reversal,"Tue, 09 Jun 2026 17:00:58 +0000",,negative,0.7886656522750854,False
AAPL,"Anthropic launches Mythos-class Claude Fable 5 model, available to the public","Tue, 09 Jun 2026 17:00:00 +0000",,neutral,0.927814245223999,False
AAPL,Apple quietly reveals how it plans to make money from AI,"Tue, 09 Jun 2026 16:59:30 +0000",,neutral,0.9307977557182312,False
AAPL,Apple WWDC: Can Rebuilt Siri Finally Prove Two-Year AI Vision Pays Off?,"Tue, 09 Jun 2026 16:56:10 +0000",,positive,0.5471805930137634,True
AAPL,Apple announces store closures amid major retail problem,"Tue, 09 Jun 2026 16:33:00 +0000",,negative,0.9541543126106262,False
AAPL,It’s not FAANG anymore. It’s MANGOS.,"Tue, 09 Jun 2026 16:09:14 +0000",,neutral,0.9040811061859131,False
AAPL,Microsoft Stock And The Peril Of Peak Profitability,"Tue, 09 Jun 2026 16:04:19 +0000",,negative,0.912710964679718,False
AAPL,Kiddopia Launches Digital Gift Cards on Amazon’s Online Store,"Tue, 09 Jun 2026 16:00:00 +0000",,neutral,0.8985994458198547,False
TSLA,"Prominent Tech Investor: ‘When We Were Buying Nvidia in 2023, We Were Paying 4 Times Earnings’","Tue, 09 Jun 2026 18:54:30 +0000",,neutral,0.7916550636291504,False
TSLA,Electros Inc. Advances Its EV Charging Patent Strategy as It Continues Pursuing Long‑term Growth in Electric Vehicle Technology and Critical Minerals,"Tue, 09 Jun 2026 18:40:00 +0000",,positive,0.9282346963882446,False
TSLA,SpaceX IPO Turns Tesla Merger Talk Into a Core Wall Street Thesis,"Tue, 09 Jun 2026 18:18:19 +0000",,neutral,0.8751718401908875,False
TSLA,Tesla Wins Denmark Green Light For FSD Expansion — But TSLA Stock Slips,"Tue, 09 Jun 2026 17:54:44 +0000",,positive,0.5031117796897888,True
TSLA,Elon Musk Reveals Details For SpaceX-Tesla Orbiting Data Center,"Tue, 09 Jun 2026 17:37:19 +0000",,neutral,0.9331728219985962,False
TSLA,"Tesla (TSLA) Rolls Out Unsupervised Robotaxis in ​Austin Metro Area, Reuters Reports","Tue, 09 Jun 2026 17:24:33 +0000",,neutral,0.8915370106697083,False
TSLA,Rivian Launches the R2 to Chase Tesla,"Tue, 09 Jun 2026 17:01:38 +0000",,neutral,0.8973132967948914,False
TSLA,Elon Musk Reacts To $30 Trillion SpaceX Valuation Call: 'Ron Is Smart',"Tue, 09 Jun 2026 16:31:05 +0000",,neutral,0.9013817310333252,False
TSLA,Why Musk's SpaceX control is an 'all-out assault' on US market integrity,"Tue, 09 Jun 2026 16:04:34 +0000",,negative,0.5204286575317383,True
TSLA,The Model 3 Era at Rivian Begins. Its Lower-Price EV Is Here.,"Tue, 09 Jun 2026 14:56:00 +0000",,neutral,0.8889681100845337,False
TSLA,SpaceX IPO: A Tesla-Like Opportunity or a $1.75 Trillion Trap?,"Tue, 09 Jun 2026 14:48:00 +0000",,neutral,0.9203310012817383,False
TSLA,Solidion Strengthens Battery Moat with 7 New Patents,"Tue, 09 Jun 2026 14:28:33 +0000",,positive,0.9357516169548035,False
TSLA,Elon Musk Reveals Insane Plan to Double American Chip Production in a Single Plant,"Tue, 09 Jun 2026 14:27:16 +0000",,neutral,0.755264163017273,False
TSLA,Wall Street sees AI trade bearing fruit with MANGOS ahead of IPOs,"Tue, 09 Jun 2026 14:04:55 +0000",,positive,0.6319741606712341,True
TSLA,How Dutch Safety Data Could Open Europe for Tesla,"Tue, 09 Jun 2026 13:57:00 +0000",,neutral,0.8935381174087524,False
TSLA,"Tesla Just Lost One of Its Biggest Bears, but Is the Stock a Buy?","Tue, 09 Jun 2026 13:55:00 +0000",,neutral,0.8550293445587158,False
TSLA,"SpaceX, Anthropic, OpenAI Can Rewrite History for Megacap IPOs","Tue, 09 Jun 2026 13:42:01 +0000",,neutral,0.9317763447761536,False
TSLA,Potential implications from SpaceX IPO for Tesla?,"Tue, 09 Jun 2026 13:03:56 +0000",,neutral,0.8531115055084229,False
TSLA,Wall Street Pounds the Table: Tesla’s Future Is Not in Cars — It’s Robotics,"Tue, 09 Jun 2026 13:00:09 +0000",,neutral,0.934711754322052,False
TSLA,Energy Transition Update - CIP Boosts Energy Transition With Battery Storage Project,"Tue, 09 Jun 2026 11:37:51 +0000",,positive,0.9388343691825867,False
MSFT,Why Microsoft Stock Is Sinking Today,"Tue, 09 Jun 2026 18:53:24 +0000",,negative,0.7949866652488708,False
MSFT,Equities Markets Fall Intraday Amid Tech Sell-Off,"Tue, 09 Jun 2026 18:17:06 +0000",,negative,0.9579709768295288,False
MSFT,Can PLTR Stock Live Up To Its Multiple?,"Tue, 09 Jun 2026 18:14:50 +0000",,neutral,0.7773253917694092,False
MSFT,Barclays Raises Hewlett Packard Enterprise (HPE) Price Target on Sustained Demand Strength,"Tue, 09 Jun 2026 18:12:48 +0000",,positive,0.8362003564834595,False
MSFT,Where Alphabet Stock Is Most Exposed,"Tue, 09 Jun 2026 17:38:26 +0000",,neutral,0.9061760902404785,False
MSFT,Is NVIDIA (NVDA) One of the Best NASDAQ Stocks to Buy and Hold for 3 Years?,"Tue, 09 Jun 2026 17:23:52 +0000",,neutral,0.7346810698509216,True
MSFT,CoreWeave Founders Have Sold $2.3 Billion in Stock Since IPO,"Tue, 09 Jun 2026 17:03:52 +0000",,neutral,0.9446378350257874,False
MSFT,Microsoft Gets a Fresh AI Cloud Signal,"Tue, 09 Jun 2026 17:00:55 +0000",,neutral,0.7128366827964783,True
MSFT,"Anthropic launches Mythos-class Claude Fable 5 model, available to the public","Tue, 09 Jun 2026 17:00:00 +0000",,neutral,0.927814245223999,False
MSFT,Microsoft’s $9K Return on $1K Crushes The Market,"Tue, 09 Jun 2026 16:45:04 +0000",,negative,0.8276607394218445,False
MSFT,"Sam Altman’s OpenAI Confidentially Files for IPO, Eyes $850+ Billion Valuation","Tue, 09 Jun 2026 16:43:05 +0000",,neutral,0.9502333998680115,False
MSFT,"Pax8 to Launch Relationship with inforcer, Expanding Microsoft 365 Security, Governance and Copilot Readiness for MSPs","Tue, 09 Jun 2026 16:20:00 +0000",,positive,0.9081094264984131,False
MSFT,Rigetti Advances Toward Quantum Advantage With Cepheus Push,"Tue, 09 Jun 2026 16:17:00 +0000",,positive,0.9295397996902466,False
MSFT,OpenAI’s Paradox: ChatGPT Owner Files for IPO But Wants to Stay Private for ‘A While’,"Tue, 09 Jun 2026 16:06:00 +0000",,neutral,0.925148069858551,False
MSFT,Microsoft Stock And The Peril Of Peak Profitability,"Tue, 09 Jun 2026 16:04:19 +0000",,negative,0.912710964679718,False
MSFT,"Qualcomm Drops 8% on ByteDance ASIC Deal, Marvell Falls 10% as Custom-Silicon Stocks Slide","Tue, 09 Jun 2026 15:47:20 +0000",,negative,0.9621224403381348,False
MSFT,"The Dividend Strategy That Beats the 4% Rule by $400,000 Over 20 Years on a $1 Million Portfolio","Tue, 09 Jun 2026 15:46:01 +0000",,positive,0.8482686877250671,False
MSFT,OKTA's Strong Backlog and AI Opportunity Drive Growth: What's Ahead?,"Tue, 09 Jun 2026 15:43:00 +0000",,neutral,0.8741675615310669,False
MSFT,Why Oracle Stock Needs a Successful OpenAI IPO—and Microsoft Doesn’t,"Tue, 09 Jun 2026 15:36:00 +0000",,neutral,0.9159032702445984,False
MSFT,"Western Computer and Microsoft to Host Navigate Forward: Business Central & The AI Advantage Event in Downers Grove, IL","Tue, 09 Jun 2026 15:30:00 +0000",,neutral,0.8837664127349854,False
General,56-year-old beloved fast-food chain closes over 700 locations,2026-06-09T00:55:00Z,TheStreet,negative,0.6437023878097534,True
General,Is Prudential Financial Stock Underperforming the S&P 500?,2026-06-08T09:55:41Z,Barchart,negative,0.9000436067581177,False
General,Five ways Elon Musk's SpaceX upended Wall Street's IPO playbook,2026-06-08T10:02:02Z,Reuters,positive,0.5475523471832275,True
General,Japanese investors make biggest foreign stock exit in five years in May,2026-06-08T09:17:55Z,Reuters,neutral,0.6985820531845093,True
General,How Is Paychex's Stock Performance Compared to Other Software Stocks,2026-06-08T09:09:15Z,Barchart,neutral,0.8159836530685425,False
General,Analyst Report: Humana Inc,2026-06-09T17:41:15Z,Argus Research,neutral,0.9419674277305603,False
General,Gold slides to 11-week low as Fed rate expectations and oil rally pressure bullion,2026-06-08T09:55:47Z,InvestorsHub,negative,0.943693995475769,False
General,"How Long Can $900,000 in an IRA Last for a 75-Year-Old Retiree?",2026-06-08T09:00:00Z,SmartAsset,neutral,0.632230281829834,True
General,Kinder Morgan Stock: Is KMI Underperforming the Energy Sector?,2026-06-08T08:35:34Z,Barchart,negative,0.8862631916999817,False
General,Stocks reel from a coming rate hike — and brace for a huge IPO: What to watch this week,2026-06-07T11:40:19Z,Yahoo Finance,neutral,0.8698830008506775,False
